,school_name,faculty_name,affiliation,citedby5y,hindex,hindex5y,i10index,i10index5y
0,caltech,Ralph Adolphs,California Institute of Technology,28621,120,83,269,229
1,caltech,Richard A. Andersen,"Professor of Neuroscience, California Institute of Technology",9408,103,50,238,157
2,caltech,David J. Anderson,California Institute of Technology,17991,149,79,313,200
3,caltech,Alexei Aravin,"Professor, Division of Biology and Biological Engineering, California Institute of Technology",10242,48,40,69,60
4,caltech,Frances H. Arnold,"Professor of chemical engineering, Caltech",24773,140,83,408,299
5,caltech,Pamela J. Bjorkman,Centennial Professor of Biology and Biological Engineering,20787,100,68,235,192
6,caltech,Marianne Bronner,California Institute of Technology,13552,110,56,357,230
7,caltech,Long Cai,"Research Professor of Biology, Caltech",8161,37,37,45,44
8,caltech,Michael H. Dickinson,"Zarem Professor of Bioengineering and Biology, Caltech",10949,86,54,174,152
9,caltech,William G. Dunphy,California Institute of Technology,2453,61,29,83,55
10,caltech,Michael B. Elowitz,California Institute of Technology and HHMI,12819,57,52,83,77
11,caltech,Lea A. Goentoro,"Professor of Biology, California Institute of Technology",915,11,11,12,12
12,caltech,Viviana Gradinaru,Professor of Neuroscience and Biological Engineering at Caltech,16921,57,55,100,96
13,caltech,Mitchell Guttman,"Professor of Biology, California Institute of Technology",28165,49,47,62,60
14,caltech,Rustem F. Ismagilov,California Institute of Technology,13488,84,59,189,156
15,caltech,Mary B. Kennedy,"Allen and Lenabelle Davis Professor of Biology, California Institute of Technology",3041,60,33,81,59
16,caltech,Akiko Kumagai,California Institute of Technology,2717,33,22,42,34
17,caltech,Henry A. Lester,"Professor of Biology and Biological Engineering, Caltech",6863,113,43,362,181
18,caltech,Carlos Lois,"caltech, neurobiology",4850,36,29,51,43
19,caltech,Sarkis Mazmanian,California Institute of Technology,34946,74,65,106,100
20,caltech,Markus Meister,California Institute of Technology,7338,64,49,84,80
21,caltech,Elliot Meyerowitz,"G.W. Beadle Professor of Biology, California Institute of Technology",20752,131,78,274,185
22,caltech,Dianne K. Newman,"Biology & Biological Engineering and Geological & Planetary Sciences, Caltech",10823,78,60,150,144
23,caltech,Victoria J. Orphan,"Department of Geological and Planetary Sciences, California Institute of Technology",8802,59,49,121,118
24,caltech,Lior S. Pachter,"Bren Professor of Computational Biology, Caltech",50536,77,53,161,125
25,caltech,Joseph Parker,California Institute of Technology,665,15,13,19,17
26,caltech,Rob Phillips,caltech,11118,65,44,152,126
27,caltech,Niles A. Pierce,"Professor of Applied & Computational Mathematics and Bioengineering, California Institute of",7412,41,31,50,46
28,caltech,David Prober,Caltech,2723,30,26,40,38
29,caltech,Lulu Qian,"Professor of Bioengineering, California Institute of Technology",3064,16,16,17,17
30,caltech,Ellen Rothenberg,"Professor of Biology, California Institute of Technology",3970,67,35,149,74
31,caltech,Michael L. Roukes,"Frank J. Roshek Professor of Physics, Applied Physics, and Bioengineering; Caltech",14209,86,56,199,132
32,caltech,Thanos Siapas,"Professor of Computation and Neural Systems, Caltech",1904,18,16,20,18
33,caltech,Angelike Stathopoulos,"Professor of Biology, California Institute of Technology",1256,31,23,46,40
34,caltech,Paul W. Sternberg,caltech,17097,117,63,353,245
35,caltech,Matt Thomson,Caltech,3139,19,19,23,23
36,caltech,David Van Valen,California Institute of Technology,2247,13,12,13,13
