,school_name,faculty_name,year,cite
0,Caltech,Ralph Adolphs,1998,224
1,Caltech,Ralph Adolphs,1999,247
2,Caltech,Ralph Adolphs,2000,427
3,Caltech,Ralph Adolphs,2001,629
4,Caltech,Ralph Adolphs,2002,1091
5,Caltech,Ralph Adolphs,2003,1081
6,Caltech,Ralph Adolphs,2004,1413
7,Caltech,Ralph Adolphs,2005,1681
8,Caltech,Ralph Adolphs,2006,2096
9,Caltech,Ralph Adolphs,2007,2234
10,Caltech,Ralph Adolphs,2008,2910
11,Caltech,Ralph Adolphs,2009,2778
12,Caltech,Ralph Adolphs,2010,2939
13,Caltech,Ralph Adolphs,2011,3625
14,Caltech,Ralph Adolphs,2012,4550
15,Caltech,Ralph Adolphs,2013,4298
16,Caltech,Ralph Adolphs,2014,4364
17,Caltech,Ralph Adolphs,2015,4453
18,Caltech,Ralph Adolphs,2016,4515
19,Caltech,Ralph Adolphs,2017,4593
20,Caltech,Ralph Adolphs,2018,4433
21,Caltech,Ralph Adolphs,2019,4815
22,Caltech,Ralph Adolphs,2020,4812
23,Caltech,Ralph Adolphs,2021,5154
24,Caltech,Ralph Adolphs,2022,4730
25,Caltech,Richard A. Andersen,1986,155
26,Caltech,Richard A. Andersen,1987,118
27,Caltech,Richard A. Andersen,1988,152
28,Caltech,Richard A. Andersen,1989,198
29,Caltech,Richard A. Andersen,1990,423
30,Caltech,Richard A. Andersen,1991,331
31,Caltech,Richard A. Andersen,1992,614
32,Caltech,Richard A. Andersen,1993,403
33,Caltech,Richard A. Andersen,1994,678
34,Caltech,Richard A. Andersen,1995,464
35,Caltech,Richard A. Andersen,1996,625
36,Caltech,Richard A. Andersen,1997,800
37,Caltech,Richard A. Andersen,1998,868
38,Caltech,Richard A. Andersen,1999,1039
39,Caltech,Richard A. Andersen,2000,976
40,Caltech,Richard A. Andersen,2001,1263
41,Caltech,Richard A. Andersen,2002,1252
42,Caltech,Richard A. Andersen,2003,1366
43,Caltech,Richard A. Andersen,2004,1819
44,Caltech,Richard A. Andersen,2005,1354
45,Caltech,Richard A. Andersen,2006,1574
46,Caltech,Richard A. Andersen,2007,1920
47,Caltech,Richard A. Andersen,2008,1792
48,Caltech,Richard A. Andersen,2009,1968
49,Caltech,Richard A. Andersen,2010,2019
50,Caltech,Richard A. Andersen,2011,2119
51,Caltech,Richard A. Andersen,2012,1938
52,Caltech,Richard A. Andersen,2013,2134
53,Caltech,Richard A. Andersen,2014,1901
54,Caltech,Richard A. Andersen,2015,1833
55,Caltech,Richard A. Andersen,2016,1694
56,Caltech,Richard A. Andersen,2017,1573
57,Caltech,Richard A. Andersen,2018,1747
58,Caltech,Richard A. Andersen,2019,1600
59,Caltech,Richard A. Andersen,2020,1442
60,Caltech,Richard A. Andersen,2021,1580
61,Caltech,Richard A. Andersen,2022,1454
